"","ale","county_name","state_abbr","population_size","population_density","poverty","age_19_under","age_19_64","age_65_84","age_85_and_over","white","black","native_american","asian","hispanic","all_death","health_status","unhealthy_days","no_exercise","few_fruit_veg","obesity","high_blood_pres","smoker","diabetes","uninsured","elderly_medicare","disabled_medicare","prim_care_phys_rate","dentist_rate","no_hs_diploma","unemployed","sev_work_disabled","major_depression","recent_drug_use"
"279",76.3,"Las Animas","CO",15446,3,15.4,24.4,58.1,14.5,2.9,94.5,0.6,2.7,1,40.8,858.6,21.7,-1111.1,-1111.1,-1111.1,20.5,-1111.1,-1111.1,11,3294,2545,554,64.7,38.8,2394,402,521,1121,1203
"280",77.1,"Lincoln","CO",5618,2,15.1,23.1,61.8,12.5,2.6,92.1,5.6,1,1,10.2,834.7,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,973,762,96,89,17.8,703,138,111,415,438
"281",77.9,"Logan","CO",20719,11,12.8,26.3,59.6,12.1,2,96,2.3,0.8,0.5,12.6,811.7,12.9,6.3,25.7,81,25.3,22.6,31.6,6.2,3212,2921,491,53.1,38.6,2367,428,489,1471,1649
"282",77.5,"Mesa","CO",129872,39,11.1,24.7,59.9,13.1,2.2,96.3,0.7,0.9,0.7,10.8,832,10.7,5.7,17.9,76.8,18.3,24.1,20.4,3.9,18749,18626,2962,90.9,44.7,12897,3310,4104,9382,10265
"283",80.8,"Mineral","CO",932,1,9.5,17.9,61.6,18.8,1.7,99.2,0,0.3,0,1.9,751.6,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,115,-2222,-2222,107.3,0,60,21,20,73,68
"284",78.5,"Moffat","CO",13417,3,9.5,28.5,62.5,7.8,1.2,97.3,0.4,0.9,0.4,12.6,878.1,-1111.1,6.1,-1111.1,-1111.1,12.1,-1111.1,-1111.1,7.6,1966,1257,242,52.2,29.8,1753,367,267,926,1021
"285",74.8,"Montezuma","CO",24778,12,14.9,26.4,58.7,13.3,1.6,87,0.2,10.9,0.4,9.7,950.6,14.1,5.6,16.1,84.4,17.8,-1111.1,22.5,5.7,4699,3404,555,84.8,40.4,3065,679,754,1752,1893
"286",78.3,"Montrose","CO",37482,17,12.3,25.5,58.6,13.7,2.2,96.3,0.6,1.3,0.7,16.5,776.8,16,5.9,28.6,76.8,18,21.3,21.4,4.2,6477,5422,709,72,56,4804,887,1220,2676,2851
"287",77.1,"Morgan","CO",27995,22,12.8,30.4,55.9,11.4,2.2,97.3,0.7,1,0.5,32.2,836.3,23.7,6.8,34.4,77.4,25.6,21.9,24.4,4.2,5406,3414,471,64.3,35.7,4891,633,644,1873,2116
"288",77.1,"Otero","CO",19495,15,17.8,28,54.7,14.7,2.6,95.1,1.1,1.6,1,37.8,946.3,13.7,6.7,21.2,-1111.1,26.7,-1111.1,17.2,1.6,4282,3378,707,51.3,35.9,2999,620,669,1351,1509
"289",80.8,"Ouray","CO",4260,8,7.6,21.1,65.7,12.3,1,97.9,0.1,0.8,0.4,3.8,626.7,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,497,470,37,117.4,23.5,203,99,169,322,318
"290",81.3,"Park","CO",16949,8,7.2,22.3,69.4,7.9,0.4,96.6,0.8,0.8,0.6,5.8,673.1,8.9,5.4,15.6,-1111.1,15.9,-1111.1,20.4,2.5,2169,1020,249,17.7,5.9,805,427,464,1260,1258
"291",77.9,"Phillips","CO",4586,7,10.8,27.7,54,14.7,3.6,97.9,0.3,0.7,0.5,18.4,742.4,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,752,896,72,109,21.8,548,79,104,318,339
"292",80.1,"Pitkin","CO",14914,15,5.2,16.9,73.8,8.6,0.7,97,0.7,0.3,1.5,7,417.7,7.5,4.6,8.4,-1111.1,4.2,7.2,14.2,2.1,1688,930,51,134.1,73.8,429,465,391,1180,1056
