"","ale","county_name","state_abbr","population_size","population_density","poverty","age_19_under","age_19_64","age_65_84","age_85_and_over","white","black","native_american","asian","hispanic","all_death","health_status","unhealthy_days","no_exercise","few_fruit_veg","obesity","high_blood_pres","smoker","diabetes","prim_care_phys_rate","dentist_rate","community_health_center_ind","hpsa_ind","uninsured","elderly_medicare","disabled_medicare","no_hs_diploma","unemployed","sev_work_disabled","major_depression","recent_drug_use"
"2994",75.7,"Brooke","WV",24515,276,11.7,20.6,60.6,16.3,2.5,98.2,0.9,0,0.4,0.6,947,23.4,7.6,32.8,82.3,28.7,26.7,29.6,11.2,16.3,20.4,1,1,0.0950438507036508,0.152885988170508,0.0256577605547624,0.144646135019376,0.0322659596165613,0.0548643687538242,0.0764837854374873,0.0428717111972262
"2995",74.5,"Cabell","WV",94031,334,17.6,22.2,61.7,14.1,2,93.7,4.3,0.2,0.7,0.7,1027.1,21.4,7.4,22.5,80.9,25.9,30.4,23.8,9.8,198.9,58.5,0,1,0.119247907604939,0.172145356318661,0.0436239112633068,0.135285171911391,0.0212057725643671,0.0600546628239623,0.0750603524369623,0.0455381735810531
"2996",75.2,"Calhoun","WV",7387,26,21.5,20,63.6,14.2,2.2,99.2,0.1,0.3,0.1,0.7,993,28.6,9.6,31.3,NA,23,NA,37.2,6.8,27.1,27.1,0,1,0.165561120888047,0.158250981453906,0.0542845539461216,0.270610532015703,0.0312711520238256,0.0725599025314742,0.0768918370109652,0.0426424800324895
"2997",74.4,"Clay","WV",10356,30,22.5,24.8,61.2,12.6,1.5,98.5,0.1,0.7,0,0.4,1127.5,26.7,9.9,NA,90.4,28.2,NA,28.1,9.2,19.3,9.7,0,1,0.183854770181537,0.136442641946698,0.056006179992275,0.248551564310545,0.026071842410197,0.0608342989571263,0.0726149092313635,0.0418115102356122
"2998",75.1,"Doddridge","WV",7476,23,18.1,22.5,63.1,13,1.4,99,0.3,0.2,0.2,0.6,1029.5,22.3,NA,NA,NA,NA,NA,19.4,8,13.4,0,1,1,0.158640984483681,0.104868913857678,0.0242108079186731,0.211476725521669,0.0184590690208668,0.0679507758159444,0.0749063670411985,0.0445425361155698
"2999",73.7,"Fayette","WV",46823,71,20.2,21.8,62.1,14,2.1,93.4,5,0.3,0.4,0.7,1052.8,30.1,10.8,32.2,79,30.4,31.9,28.1,10.5,66.2,32,0,1,0.161886252482754,0.163552100463447,0.0564039040642419,0.218695940029473,0.0219550221045213,0.0810926254191316,0.0752408004613117,0.0428421929393674
"3000",74.4,"Gilmer","WV",6950,20,19.6,19.6,63.8,14.1,2.4,97,1.1,0.2,1.2,0.8,969.2,27.3,8.3,NA,NA,NA,NA,NA,7.6,43.2,14.4,0,0,0.167769784172662,0.15294964028777,0.0437410071942446,0.194388489208633,0.0194244604316547,0.0473381294964029,0.0776978417266187,0.0532374100719424
"3001",77,"Grant","WV",11673,24,14.4,21.9,60.8,15.4,2,98.5,0.8,0.2,0.2,0.6,870.7,22.2,7.4,29.4,76.2,24.8,NA,20.9,10.3,51.4,34.3,0,1,0.122419258117022,0.14991861560867,0.0352951255032982,0.210914075216311,0.0261286730060824,0.0529426882549473,0.0751306433650304,0.0395785145206888
"3002",75.4,"Greenbrier","WV",35027,34,16.1,21.2,60.6,16,2.2,95.4,3,0.4,0.2,0.7,954,27.1,8.4,33.1,78.6,28.6,34.5,27,11.4,62.8,48.5,0,1,0.134553344562766,0.174094270134468,0.0485625374710937,0.190395980243812,0.0257515630799098,0.063550974962172,0.075770120192994,0.0413109886658863
"3003",76.1,"Hampshire","WV",22025,34,14.1,24,61.9,12.7,1.4,97.8,1.1,0.2,0.4,0.8,928.6,21,6.6,21.1,71.4,27.1,31.2,21.6,9.5,31.8,22.7,1,1,0.116004540295119,0.128490351872872,0.0301929625425653,0.198138479001135,0.0168898978433598,0.0512599318955732,0.0733257661748014,0.0419977298524404
